order,title,link0,link1,link2,link3,link4,link5,link6,link7,link8,link9
1A,Introduction,,,,,,,,,,
2A,What you will learn,,,,,,,,,,
2B,What is Linux,https://en.wikipedia.org/wiki/Unix-like,https://en.wikipedia.org/wiki/Unix_philosophy,https://ubuntu.com/,https://www.debian.org/,https://www.debian.org/,https://linuxmint.com/,https://www.redhat.com/en/technologies/linux-platforms/enterprise-linux,https://www.alpinelinux.org/,https://www.kali.org/,https://www.centos.org/
2C,Let's Run Linux,https://www.virtualbox.org/,https://ubuntu.com/download/server,https://www.vmware.com/products/fusion.html,https://www.parallels.com/,https://multipass.run,https://www.virtualbox.org/,https://multipass.run/docs/installing-on-windows,https://multipass.run/docs/installing-on-macos,https://docs.microsoft.com/en-us/windows/wsl/install-win10#update-to-wsl-2,
3A,Anatomy of a CLI Command,https://en.wikipedia.org/wiki/Bash_(Unix_shell),,,,,,,,,
3B,Common Tips and Tricks,https://en.wikipedia.org/wiki/Exclamation_mark#History,,,,,,,,,
3C,Signals and the the Power of CTRL,https://support.apple.com/guide/mac-help/change-the-behavior-of-the-modifier-keys-mchlp1011/mac,https://github.com/microsoft/PowerToys#keyboard-manager,,,,,,,,
4A,nano,https://xkcd.com/378/,https://www.nano-editor.org/dist/latest/faq.html#1.1,https://en.wikipedia.org/wiki/Recursive_acronym,,,,,,,
4B,vim,https://en.wikipedia.org/wiki/Ed_(text_editor),https://en.wikipedia.org/wiki/QED_(text_editor),https://en.wikipedia.org/wiki/Ex_(text_editor),https://vim-adventures.com/,https://www.gnu.org/software/emacs/,,,,,
5A,Interacting with Files,https://github.com/andreafrancia/trash-cli,,,,,,,,,
5B,Wildcards and Replacements,,,,,,,,,,
5C,Streams and Pipes,,,,,,,,,,
5D,Users, Groups, and Permissions,https://frontendmasters.com/teachers/sarah-drasner/,https://xkcd.com/149/,https://en.wikipedia.org/wiki/Simon_Says,https://xkcd.com/838/,https://www.linux.com/training-tutorials/file-types-linuxunix-explained-detail/,,,,,
6A,Environments,,,,,,,,,,
6B,Processes,https://www.rackaid.com/blog/linux-screen-tutorial-and-how-to/,https://www.howtogeek.com/671422/how-to-use-tmux-on-linux-and-why-its-better-than-screen/,,,,,,,,
6D,Exit Codes, Process Operators, and Subcommands,http://mywiki.wooledge.org/BashFAQ/082,,,,,,,,,
7A,SSH,https://en.wikipedia.org/wiki/Diffie%E2%80%93Hellman_key_exchange,,,,,,,,,
7B,SFTP,,,,,,,,,,
7C,wget,https://github.com/mydzor/bash2048,,,,,,,,,
7D,curl,https://en.wikipedia.org/wiki/Hypertext_Transfer_Protocol#Request_methods,https://en.wikipedia.org/wiki/HTTP_cookie,,,,,,,,
8A,What is Package Management,,,,,,,,,,
8B,APT,https://twitter.com/sarah_edo/status/1249702231407857666,https://www.apt-browse.org/,,,,,,,,
8C,Snaps,https://askubuntu.com/questions/866511/what-are-the-differences-between-snaps-appimage-flatpak-and-others,https://snapcraft.io/node,https://snapcraft.io/lolcat,https://nodesource.com/,,,,,,
9A,Writing Your Own Scripts,,,,,,,,,,
9B,Variables,,,,,,,,,,
9C,Conditionals,,,,,,,,,,
